subject,subject_type,relation,object,object_type,date
pemerintah provinsi sumatera utara,PEMERINTAHAN,Memperkenalkan,peluang investasi,KONSEP,2024-06-26 08:07:00
bank indonesia,BADAN_REGULATOR,Memperkenalkan,peluang investasi,KONSEP,2024-06-26 08:07:00
bank indonesia,BADAN_REGULATOR,BerdampakPositif,pertumbuhan,KONSEP,2024-06-26 08:07:00
arief s. trinugroho,ORANG,Mengumumkan,informasi tentang peluang investasi,KONSEP,2024-06-26 08:07:00
arief s. trinugroho,ORANG,BerdampakPositif,calon investor,ORANG,2024-06-26 08:07:00
arief s. trinugroho,ORANG,BerdampakPositif,perwakilan negara sahabat,ORANG,2024-06-26 08:07:00
igp wira kesuma,ORANG,Mengumumkan,pentingnya investasi,KONSEP,2024-06-26 08:07:00
budi sulistiyo,ORANG,Berpartisipasi,indonesian tuna investment and business forum 2024,EVENT,2024-06-25 20:44:00
realisasi pma tahun 2023,INDIKATOR_EKONOMI,BerdampakPositif,indonesia,NEGARA,2024-06-25 20:44:00
realisasi investasi tuna,INDIKATOR_EKONOMI,Meningkatkan,realisasi investasi tuna pada triwulan i dan iv tahun 2023,INDIKATOR_EKONOMI,2024-06-25 20:44:00
sri mulyani,ORANG,Mengumumkan,strategi,KONSEP,2024-06-25 19:00:00
sri mulyani,ORANG,BerdampakPositif,kemampuan masyarakat,KONSEP,2024-06-25 19:00:00
sri mulyani,ORANG,Mempengaruhi,edukasi kepada ibu-ibu,KONSEP,2024-06-25 19:00:00
sri mulyani,ORANG,Mengaitkan,gender awareness,KONSEP,2024-06-25 19:00:00
kementerian keuangan,PEMERINTAHAN,BeroperasiDi,pengelolaan keuangan,KONSEP,2024-06-25 19:00:00
ibu,ORANG,Mempengaruhi,anak-anaknya,ORANG,2024-06-25 14:13:00
undang-undang p2sk,KONSEP,Mempengaruhi,perlindungan konsumen,KONSEP,2024-06-25 14:13:00
produkn dan jasa keuangan,PRODUK,Meningkatkan,kesejahteraan,KONSEP,2024-06-25 14:13:00
ibu,ORANG,Mempengaruhi,keluarganya,ORANG,2024-06-25 14:13:00
friderica widyasari dewi,ORANG,AnggotaDari,otoritas jasa keuangan,BADAN_REGULATOR,2024-06-25 14:13:00
otoritas jasa keuangan,BADAN_REGULATOR,Mengumumkan,tingkat literasi dan inklusi perempuan,KONSEP,2024-06-25 14:13:00
friderica widyasari dewi,ORANG,Berpartisipasi,acara talkshow edukasi keuangan bundaku,EVENT,2024-06-25 14:13:00
otoritas jasa keuangan,BADAN_REGULATOR,Mengumumkan,tingkat literasi keuangan kaum perempuan,KONSEP,2024-06-25 14:13:00
universitas sebelas maret,ORGANISASI,Mengumumkan,pandangan ariyanto adhi nugroho,KONSEP,2024-06-25 06:29:00
program pemerintah,PEMERINTAHAN,Mempengaruhi,masyarakat berpenghasilan rendah,KONSEP,2024-06-25 06:29:00
perumahan subsidi,KONSEP,Mengaitkan,pembeli rumah,KONSEP,2024-06-25 06:29:00
bank pelaksana,PERUSAHAAN,Mengendalikan,kpr bersubsidi,INSTRUMEN_FINANSIAL,2024-06-25 06:29:00
presiden joko widodo,ORANG,Mengumumkan,kompleks perumahan subsidi,KONSEP,2024-06-25 06:29:00
villa kencana cikarang,PRODUK,BeroperasiDi,kabupaten bekasi,KOTA,2024-06-25 06:29:00
program pemerintah indonesia,PEMERINTAHAN,Mempengaruhi,perumahan subsidi,KONSEP,2024-06-25 06:29:00
kompas.com,PERUSAHAAN,Mengumumkan,perjalanan investasi,KONSEP,2024-06-24 20:00:00
nasdaq,PERUSAHAAN,Mengaitkan,aturan-aturan investasi,KONSEP,2024-06-24 20:00:00
budi arie setiadi,ORANG,Mengumumkan,permintaan pembukaan apple store di indonesia,KONSEP,2024-06-24 13:35:00
apple store,PRODUK,BeroperasiDi,malaysia,NEGARA,2024-06-24 13:35:00
apple store,PRODUK,BeroperasiDi,singapura,NEGARA,2024-06-24 13:35:00
apple store,PRODUK,BeroperasiDi,thailand,NEGARA,2024-06-24 13:35:00
presiden joko widodo,PEMERINTAHAN,Meningkatkan,kehadiran apple store,KONSEP,2024-06-24 13:35:00
apple,PERUSAHAAN,Mengumumkan,apple store,PRODUK,2024-06-24 13:35:00
apple,PERUSAHAAN,BerinvestasiDi,indonesia,NEGARA,2024-06-24 13:35:00
tim cook,ORANG,Berpartisipasi,presiden joko widodo,ORANG,2024-06-24 13:35:00
kementerian investasi/badan koordinasi penanaman modal (bkpm),PEMERINTAHAN,Mengumumkan,realisasi investasi kuartal i 2024,KONSEP,2024-06-24 12:43:00
riyatno,ORANG,Berpartisipasi,"acara ""unleashing indonesia's business potential""",EVENT,2024-06-24 12:43:00
pemerintah indonesia,PEMERINTAHAN,Mengaitkan,pertumbuhan ekonomi,INDIKATOR_EKONOMI,2024-06-24 12:43:00
pemerintah indonesia,PEMERINTAHAN,Mempengaruhi,realisasi investasi,INDIKATOR_EKONOMI,2024-06-24 12:43:00
pemerintah indonesia,PEMERINTAHAN,Meningkatkan,pertumbuhan ekonomi,INDIKATOR_EKONOMI,2024-06-24 12:43:00
presiden joko widodo,ORANG,Mengumumkan,proyek strategis nasional (psn) tanjung sauh,KONSEP,2024-06-24 08:58:00
investor asal china,ORGANISASI,BerinvestasiDi,proyek strategis nasional (psn) tanjung sauh,KONSEP,2024-06-24 08:58:00
investasi,KONSEP,Memiliki,pundi-pundi rupiah,INDIKATOR_EKONOMI,2024-06-23 10:47:00
kementerian keuangan,PEMERINTAHAN,Mengumumkan,tips investasi,KONSEP,2024-06-23 10:47:00
goldland group,PERUSAHAAN,BerdampakPositif,peluang penjualan lebih tinggi,KONSEP,2024-06-23 09:43:00
goldland group,PERUSAHAAN,BerdampakPositif,calon pembeli yang sesuai dengan target pasar,KONSEP,2024-06-23 09:43:00
savings bond ritel,PRODUK,Mempengaruhi,tingkat imbal hasil,INDIKATOR_EKONOMI,2024-06-22 22:49:00
bri,PERUSAHAAN,Mengumumkan,whatsapp bri-info,KONSEP,2024-06-22 22:49:00
savings bond ritel,PRODUK,Mengaitkan,suku bunga bank indonesia,INDIKATOR_EKONOMI,2024-06-22 22:49:00
surat berharga negara,INSTRUMEN_FINANSIAL,Mengumumkan,berbagai keuntungan,KONSEP,2024-06-22 22:49:00
savings bond ritel,PRODUK,BeroperasiDi,bank,ORGANISASI,2024-06-22 22:49:00
savings bond ritel,PRODUK,Menghasilkan,kupon yang kompetitif,KONSEP,2024-06-22 22:49:00
jumlah investor sbn,INDIKATOR_EKONOMI,Meningkatkan,"19,40 persen dari tahun sebelumnya",KONSEP,2024-06-22 22:49:00
jumlah investor sbn,INDIKATOR_EKONOMI,Meningkatkan,992.787 orang,ORANG,2024-06-22 22:49:00
kustodian sentral efek indonesia,BADAN_REGULATOR,Mengumumkan,data per november 2023,KONSEP,2024-06-22 22:49:00
surat berharga negara,INSTRUMEN_FINANSIAL,Memiliki,keamanan,KONSEP,2024-06-22 22:49:00
korean land & housing corporation (lh),PERUSAHAAN,BeroperasiDi,korea selatan,NEGARA,2024-06-22 05:30:00
naacc,BADAN_REGULATOR,BerinvestasiDi,20 juta dollar as,INSTRUMEN_FINANSIAL,2024-06-22 05:30:00
naacc,BADAN_REGULATOR,Memperkenalkan,pembangunan community center,KONSEP,2024-06-22 05:30:00
koica,BADAN_REGULATOR,BerdampakPositif,pembangunan kota sejong,KONSEP,2024-06-22 05:30:00
korea international cooperation agency (koica),BADAN_REGULATOR,BerinvestasiDi,nusantara,KONSEP,2024-06-22 05:30:00
ciguarantee,PERUSAHAAN,BeroperasiDi,korea selatan,NEGARA,2024-06-22 05:30:00
naacc,BADAN_REGULATOR,Mempengaruhi,prinsip-prinsip berkelanjutan,KONSEP,2024-06-22 05:30:00
naacc,BADAN_REGULATOR,Mengaitkan,korea selatan,NEGARA,2024-06-22 05:30:00
otoriita ibu kota nusantara,PEMERINTAHAN,BerdampakPositif,pembangunan dan pengelolaan nusantara,KONSEP,2024-06-22 05:30:00
otorita ibu kota nusantara,PEMERINTAHAN,BerinvestasiDi,ikn,KONSEP,2024-06-22 05:30:00
sbn,PRODUK,Menghasilkan,nilai pokok dan imbal hasilnya,INSTRUMEN_FINANSIAL,2024-06-20 20:53:00
pemerintah,PEMERINTAHAN,Memperkenalkan,sbn,PRODUK,2024-06-20 20:53:00
pemerintah,PEMERINTAHAN,Mengumumkan,instrumen investasi sbn,INSTRUMEN_FINANSIAL,2024-06-20 20:53:00
pt bri manajemen investasi,PERUSAHAAN,Menghasilkan,dana kelolaan reksa dana,PRODUK,2024-06-20 20:04:00
tina meilina,ORANG,Memperkenalkan,strategi bisnis,KONSEP,2024-06-20 20:04:00
dana kelolaan reksa dana,PRODUK,Meningkatkan,pertumbuhan produk reksa dana,PRODUK,2024-06-20 20:04:00
pt bri manajemen investasi,PERUSAHAAN,Mengumumkan,tina meilina,ORANG,2024-06-20 20:04:00
tina meilina,ORANG,Mengendalikan,divisi wealth management,SEKTOR,2024-06-20 20:04:00
tina meilina,ORANG,Meningkatkan,kemampuan dan keahlian,KONSEP,2024-06-20 20:04:00
tina meilina,ORANG,AnggotaDari,pt bri manajemen investasi,PERUSAHAAN,2024-06-20 20:04:00
villa kencana cikarang,WILAYAH,Mengumumkan,perumahan subsidi,PRODUK,2024-06-20 19:05:00
joko,ORANG,Mengaitkan,investasi,KONSEP,2024-06-20 19:05:00
joko,ORANG,Mengaitkan,rumah subsidi,PRODUK,2024-06-20 19:05:00
presiden joko widodo,ORANG,Mengumumkan,perumahan subsidi,PRODUK,2024-06-20 19:05:00
perumahan subsidi,PRODUK,Memperkenalkan,metode kpr subsidi,KONSEP,2024-06-20 19:05:00
metode kpr subsidi,KONSEP,Memiliki,uang muka,INDIKATOR_EKONOMI,2024-06-20 19:05:00
metode kpr subsidi,KONSEP,Memiliki,cicilan,INDIKATOR_EKONOMI,2024-06-20 19:05:00
bank syariah indonesia,PERUSAHAAN,Meningkatkan,porsi pembiayaan,INDIKATOR_EKONOMI,2024-06-20 17:11:00
ma'ruf amin,ORANG,Mengumumkan,bsi international expo,EVENT,2024-06-20 17:11:00
pemerintah,PEMERINTAHAN,Mengumumkan,pembangunan infrastruktur di ibu kota nusantara,KONSEP,2024-06-20 16:20:00
anggaran pendapatan dan belanja negara,KONSEP,Memiliki,rp 80 triliun,INDIKATOR_EKONOMI,2024-06-20 16:20:00
oikn,ORGANISASI,BeroperasiDi,ibu kota nusantara,WILAYAH,2024-06-20 16:20:00
oikn,ORGANISASI,Mengendalikan,perizinan investasi,KONSEP,2024-06-20 16:20:00
joko widodo,ORANG,Mengumumkan,rumah subsidi,PRODUK,2024-06-20 13:25:00
flpp,KONSEP,Mengaitkan,bunga acuan,INDIKATOR_EKONOMI,2024-06-20 13:25:00
pt arrayan bekasi development,PERUSAHAAN,Menghasilkan,rumah subsidi,PRODUK,2024-06-20 13:25:00
joko,ORANG,Berpartisipasi,villa kencana cikarang,PRODUK,2024-06-20 13:25:00
pertamina new & renewable energy,PERUSAHAAN,Menghasilkan,produksi hidrogen bersih,KONSEP,2024-06-20 12:56:00
pertamina new & renewable energy,PERUSAHAAN,Mengumumkan,"investasi mencapai 6,2 miliar dollar as",KONSEP,2024-06-20 12:56:00
pertamina new & renewable energy,PERUSAHAAN,BerdampakPositif,kapasitas terpasang pembangkit listrik berbasis energi bersih,INDIKATOR_EKONOMI,2024-06-20 12:56:00
pertamina new & renewable energy,PERUSAHAAN,Berpartisipasi,pengembangan kapasitas terpasang pembangkit listrik berbasis energi bersih,KONSEP,2024-06-20 12:56:00
pertamina new & renewable energy,PERUSAHAAN,Meningkatkan,portofolio bisnis energi bersih,KONSEP,2024-06-20 12:56:00
john anis,ORANG,Mengumumkan,target 6 gw,KONSEP,2024-06-20 12:56:00
pertamina new & renewable energy,PERUSAHAAN,Mengendalikan,kredit karbon,KONSEP,2024-06-20 12:56:00
pertamina new & renewable energy,PERUSAHAAN,Menghasilkan,bioethanol,KONSEP,2024-06-20 12:56:00
pertamina new & renewable energy,PERUSAHAAN,BerdampakPositif,pertumbuhan bisnis,KONSEP,2024-06-20 12:56:00
pertamina new & renewable energy,PERUSAHAAN,Menghasilkan,produksi listrik,INDIKATOR_EKONOMI,2024-06-20 12:56:00
afas,KONSEP,Memperkenalkan,perjanjian perdagangan internasional,KONSEP,2024-06-20 09:00:00
asean,KONSEP,BeroperasiDi,bidang jasa,KONSEP,2024-06-20 09:00:00
afas,KONSEP,Meningkatkan,akses pasar,INDIKATOR_EKONOMI,2024-06-20 09:00:00
indonesia,NEGARA,Meningkatkan,daya saing,INDIKATOR_EKONOMI,2024-06-20 09:00:00
indonesia,NEGARA,Mengendalikan,protokol afas paket ke-4 sampai dengan paket ke-8,KONSEP,2024-06-20 09:00:00
dewan perwakilan rakyat (dpr) ri,PEMERINTAHAN,Mengumumkan,ratifikasi protokol untuk melaksanakan paket keduabelas komitmen jasa angkutan udara,KONSEP,2024-06-20 09:00:00
investasi,KONSEP,Memiliki,penghasilan,INDIKATOR_EKONOMI,2024-06-19 22:20:00
mandiri sekuritas,PERUSAHAAN,Mengumumkan,10 tips,KONSEP,2024-06-19 22:20:00
pasar modal,SEKTOR,BeroperasiDi,produk saham,PRODUK,2024-06-19 22:20:00
pasar modal,SEKTOR,BeroperasiDi,obligasi,PRODUK,2024-06-19 22:20:00
pasar modal,SEKTOR,BeroperasiDi,reksa dana,PRODUK,2024-06-19 22:20:00
sektor industri,SEKTOR,Meningkatkan,kebutuhan gas,INDIKATOR_EKONOMI,2024-06-19 11:40:00
satuan kerja khusus pelaksana kegiatan usaha hulu minyak dan gas bumi,ORGANISASI,Mengumumkan,angka investasi sebesar 16 miliar dollar as,INDIKATOR_EKONOMI,2024-06-19 11:40:00
pt prudential life assurance,PERUSAHAAN,BerdampakPositif,nasabah,ORANG,2024-06-18 18:07:00
pt prudential life assurance,PERUSAHAAN,Berpartisipasi,mandiri investasi,PERUSAHAAN,2024-06-18 18:07:00
ivy widjaja,ORANG,Mengumumkan,komitmen untuk terus berinovasi,KONSEP,2024-06-18 18:07:00
arturo bris,ORANG,Mengaitkan,pertumbuhan dan pembangunan pesat,KONSEP,2024-06-18 17:27:00
indonesia,NEGARA,Meningkatkan,peringkat daya saing,INDIKATOR_EKONOMI,2024-06-18 17:27:00
institute for management development,ORGANISASI,Mengumumkan,world competitiveness ranking 2024,EVENT,2024-06-18 17:27:00
warga negara indonesia,NEGARA,Memiliki,kartu tanda penduduk,KONSEP,2024-06-14 20:58:00
pemerintah,PEMERINTAHAN,Mengumumkan,mitra distribusi resmi,ORGANISASI,2024-06-14 20:58:00
indonesia,NEGARA,Berpartisipasi,investasi pangan di kamboja,KONSEP,2024-06-14 19:39:00
kamboja,NEGARA,Memiliki,lahan murah dan daerah pertanian yang subur,KONSEP,2024-06-14 19:39:00
kamboja,NEGARA,Mempengaruhi,ketahanan pangan,KONSEP,2024-06-14 19:39:00
perum badan urusan logistik,PERUSAHAAN,Mengumumkan,kerja sama ekonomi dan investasi pangan,KONSEP,2024-06-14 19:39:00
perum badan urusan logistik,PERUSAHAAN,BerinvestasiDi,kamboja,NEGARA,2024-06-14 19:39:00
hasil produksi pelaku usaha,KONSEP,Mempengaruhi,kontribusi ekspor,KONSEP,2024-06-14 18:19:00
kek setangga,KONSEP,Meningkatkan,nilai tambah perkebunan dan kehutanan,KONSEP,2024-06-14 18:19:00
pt anugrah barokah cakrawala,PERUSAHAAN,Memiliki,kek setangga,KONSEP,2024-06-14 18:19:00
pt jhonlin agro raya,PERUSAHAAN,Memiliki,kek setangga,KONSEP,2024-06-14 18:19:00
kek setangga,KONSEP,Memiliki,investor utama,KONSEP,2024-06-14 18:19:00
kek setangga,KONSEP,Memperkenalkan,peraturan pemerintah (pp) nomor 26 tahun 2024,KONSEP,2024-06-14 18:19:00
kek setangga,KONSEP,BeroperasiDi,kabupaten tanah bumbu,KOTA,2024-06-14 18:19:00
presiden joko widodo (jokowi),ORANG,Mengumumkan,kek setangga,KONSEP,2024-06-14 18:19:00
kawasan ekonomi khusus (kek),KONSEP,Memiliki,22 kek,KONSEP,2024-06-14 18:19:00
skk migas,BADAN_REGULATOR,Mengendalikan,proses on stream,KONSEP,2024-06-14 18:00:00
geng north,KONSEP,Berpartisipasi,penemuan terbesar dunia,KONSEP,2024-06-14 18:00:00
investasi eksplorasi hulu migas,INDIKATOR_EKONOMI,Meningkatkan,penemuan besar,KONSEP,2024-06-14 18:00:00
hudi d suryodipuro,ORANG,BerdampakPositif,investasi eksplorasi hulu migas,INDIKATOR_EKONOMI,2024-06-14 18:00:00
skk migas,BADAN_REGULATOR,Meningkatkan,produksi migas nasional,INDIKATOR_EKONOMI,2024-06-14 18:00:00
skk migas,BADAN_REGULATOR,Mengendalikan,kegiatan eksplorasi hulu migas,KONSEP,2024-06-14 18:00:00
skk migas,BADAN_REGULATOR,AnggotaDari,rencana jangka panjang,KONSEP,2024-06-14 18:00:00
investasi hulu migas,INDIKATOR_EKONOMI,Meningkatkan,"angka investasi 13,7 miliar dollar as",INDIKATOR_EKONOMI,2024-06-14 18:00:00
hulu migas Indonesia,SEKTOR,BerdampakPositif,investasi hulu migas,INDIKATOR_EKONOMI,2024-06-14 18:00:00
hulu migas indonesia,SEKTOR,Meningkatkan,nilai daya saing investasi,INDIKATOR_EKONOMI,2024-06-14 18:00:00
pemerintah,PEMERINTAHAN,Meningkatkan,nilai daya saing investasi hulu migas indonesia,INDIKATOR_EKONOMI,2024-06-14 18:00:00
hudi d suryodipuro,ORANG,Mempengaruhi,penetapan target,KONSEP,2024-06-14 18:00:00
pemerintah,PEMERINTAHAN,Mengumumkan,gas 12 miliar kaki kubik per hari,INDIKATOR_EKONOMI,2024-06-14 18:00:00
pemerintah,PEMERINTAHAN,Mengumumkan,lifting minyak 1 juta barrel per hari,INDIKATOR_EKONOMI,2024-06-14 18:00:00
menteri hukum dan hak asasi manusia,PEMERINTAHAN,Mengumumkan,33 desa/kelurahan sadar hukum,KONSEP,2024-06-14 16:18:00
kepatuhan hukum,KONSEP,Meningkatkan,kepercayaan masyarakat internasional,KONSEP,2024-06-14 16:18:00
pt pos indonesia (persero),PERUSAHAAN,Memperkenalkan,mesin sortir robotik,PRODUK,2024-06-14 15:00:00
pt pos indonesia (persero),PERUSAHAAN,Meningkatkan,efisiensi pengeluaran,KONSEP,2024-06-14 15:00:00
pt pos indonesia (persero),PERUSAHAAN,BerdampakPositif,transformasi digital bidang robotik,KONSEP,2024-06-14 15:00:00
menteri badan usaha milik negara (bumn) erick thohir,PEMERINTAHAN,Berpartisipasi,peresmian mesin sortir robotik dan radio frequency identification (rfid),EVENT,2024-06-14 15:00:00
pt pos indonesia (persero),PERUSAHAAN,Mengumumkan,investasi masif pada robot dan digitalisasi,KONSEP,2024-06-14 15:00:00
sbr013,PRODUK,BeroperasiDi,pasar sekunder,KONSEP,2024-06-14 13:31:00
suku bunga acuan indonesia (bi rate),INDIKATOR_EKONOMI,Mempengaruhi,besar kupon,INSTRUMEN_FINANSIAL,2024-06-14 13:31:00
djppr,BADAN_REGULATOR,Mengumumkan,penawaran sbn ritel,EVENT,2024-06-14 13:31:00
sbr013,PRODUK,Memiliki,kupon,INSTRUMEN_FINANSIAL,2024-06-14 13:31:00
pt bank rakyat indonesia (persero) (bri) tbk,PERUSAHAAN,BeroperasiDi,surat berharga negara (sbn),PRODUK,2024-06-14 13:31:00
bakhit kominfo,PERUSAHAAN,Memiliki,proyek satria,PRODUK,2024-06-14 13:10:00
starlink,PERUSAHAAN,BeroperasiDi,seluruh wilayah indonesia,NEGARA,2024-06-14 13:10:00
kementerian komunikasi dan informatika,PEMERINTAHAN,Mengendalikan,direktorat pengendalian,ORGANISASI,2024-06-14 13:10:00
trubus rahardiansah,ORANG,Mengumumkan,evaluasi penerbitan izin starlink,KONSEP,2024-06-14 13:10:00
starlink,PERUSAHAAN,Mengumumkan,izin starlink,KONSEP,2024-06-14 13:10:00
raja juli,ORANG,Mengaitkan,peraturan presiden,KONSEP,2024-06-14 05:30:00
otorita ikn,ORGANISASI,Mengumumkan,target investasi swasta sebesar rp 100 triliun pada tahun 2024,INDIKATOR_EKONOMI,2024-06-14 05:30:00
ibu kota nusantara,KONSEP,Mempengaruhi,investasi,INDIKATOR_EKONOMI,2024-06-14 05:30:00
pt bri manajemen investasi,PERUSAHAAN,Mengumumkan,"pertumbuhan dana kelolaan (asset under management/aum) reksa dana sebesar rp 31,97 triliun",INDIKATOR_EKONOMI,2024-06-13 21:16:00
pt bri manajemen investasi,PERUSAHAAN,Mengendalikan,produk reksa dana,PRODUK,2024-06-13 21:16:00
tina meilina,ORANG,Mempengaruhi,kepercayaan investor,KONSEP,2024-06-13 21:16:00
pt bri manajemen investasi,PERUSAHAAN,Meningkatkan,pangsa pasar,INDIKATOR_EKONOMI,2024-06-13 21:16:00
reksa dana g20,PRODUK,Menghasilkan,"pertumbuhan 150,60 persen",INDIKATOR_EKONOMI,2024-06-13 21:16:00
reksa dana,PRODUK,BerdampakPositif,kebutuhan investor,KONSEP,2024-06-13 17:58:00
pt indo premier sekuritas,PERUSAHAAN,Mengumumkan,produk reksa dana baru,PRODUK,2024-06-13 17:58:00
investor pemula,ORANG,Memperkenalkan,reksa dana,PRODUK,2024-06-13 17:58:00
investor asing,PERUSAHAAN,BerdampakPositif,pembangunan ikn,KONSEP,2024-06-13 15:35:00
bahlil lahadalia,ORANG,Mengumumkan,investor asing,PERUSAHAAN,2024-06-13 15:35:00
menteri investasi,PEMERINTAHAN,Mengumumkan,bahlil lahadalia,ORANG,2024-06-13 15:35:00
suharso monoarfa,ORANG,Meningkatkan,ketertarikan investor,INDIKATOR_EKONOMI,2024-06-13 15:35:00
investor asing,PERUSAHAAN,BeroperasiDi,ibu kota nusantara (ikn),KONSEP,2024-06-13 15:35:00
suharso monoarfa,ORANG,Mengumumkan,investor asing,PERUSAHAAN,2024-06-13 15:35:00
menteri perencanaan pembangunan nasional,PEMERINTAHAN,Mengumumkan,suharso monoarfa,ORANG,2024-06-13 15:35:00
ojk,BADAN_REGULATOR,Mengendalikan,standart bunga,INDIKATOR_EKONOMI,2024-06-13 15:09:00
satgas pasti,BADAN_REGULATOR,Mempengaruhi,aktivitas keuangan ilegal,KONSEP,2024-06-13 15:09:00
ojk,BADAN_REGULATOR,Mengendalikan,"akses camera, microphone, location",KONSEP,2024-06-13 15:09:00
ojk jawa tengah,BADAN_REGULATOR,Mempengaruhi,nasabah koperasi,ORANG,2024-06-13 15:09:00
otoritas jasa keuangan,BADAN_REGULATOR,Mengumumkan,investasi yang dilakukan sebuah koperasi,KONSEP,2024-06-13 15:09:00
badan urusan logistik,BADAN_REGULATOR,Mengumumkan,penugasan pemerintah,KONSEP,2024-06-12 20:29:00
badan urusan logistik,BADAN_REGULATOR,BerdampakPositif,kerja sama ekonomi dan investasi pangan,KONSEP,2024-06-12 20:29:00
badan urusan logistik,BADAN_REGULATOR,BerinvestasiDi,perusahaan beras,PERUSAHAAN,2024-06-12 20:29:00
presiden joko widodo,ORANG,Mengumumkan,penugasan pemerintah,KONSEP,2024-06-12 20:29:00
menteri koordinator bidang kemaritiman dan investasi luhut binsar pandjaitan,PEMERINTAHAN,Mempengaruhi,kerja sama ekonomi dan investasi pangan,KONSEP,2024-06-12 20:29:00
kedutaan besar republik indonesia,PEMERINTAHAN,BeroperasiDi,phnom penh,KOTA,2024-06-12 20:29:00
badan urusan logistik,BADAN_REGULATOR,Berpartisipasi,pelaku usaha beras,PERUSAHAAN,2024-06-12 20:29:00
badan urusan logistik,BADAN_REGULATOR,BerdampakPositif,kerja sama perdagangan beras,KONSEP,2024-06-12 20:29:00
badan urusan logistik,BADAN_REGULATOR,Berpartisipasi,perbankan nasional,PERUSAHAAN,2024-06-12 20:29:00
kementerian keuangan (kemenkeu),PEMERINTAHAN,Mengumumkan,mitra distribusi pembelian sbr013,PERUSAHAAN,2024-06-12 08:00:00
kupon sbr,PRODUK,Mempengaruhi,bi rate,INDIKATOR_EKONOMI,2024-06-12 08:00:00
savings bond ritel (sbr) seri sbr013,PRODUK,BerinvestasiDi,mitra distribusi resmi,PERUSAHAAN,2024-06-12 08:00:00
pemerintah,PEMERINTAHAN,Mengumumkan,mitra distribusi resmi,PERUSAHAAN,2024-06-12 08:00:00
savings bond ritel (sbr) seri sbr013,PRODUK,Mengumumkan,surat berharga negara (sbn),PRODUK,2024-06-12 08:00:00
pt bandarudara internasional jawa barat,PERUSAHAAN,Mengumumkan,investor dari india dan arab saudi,ORANG,2024-06-11 19:58:00
investor dari india dan arab saudi,ORANG,BerinvestasiDi,bandara kertajati,KOTA,2024-06-11 19:58:00
pt bandarudara internasional jawa barat,PERUSAHAAN,Mengendalikan,bandara kertajati,KOTA,2024-06-11 19:58:00
calon investor asing dari kedua negara,ORANG,Mengumumkan,minat berinvestasi di bandara kertajati,KOTA,2024-06-11 19:58:00
elon musk,ORANG,Memperkenalkan,starlink di bali,EVENT,2024-06-11 18:49:00
konektivitas internet,KONSEP,Mempengaruhi,kehidupan masyarakat,KONSEP,2024-06-11 18:49:00
starlink,PERUSAHAAN,BerdampakPositif,konektivitas internet,KONSEP,2024-06-11 18:49:00
starlink,PERUSAHAAN,Memiliki,tiga karyawan,INDIKATOR_EKONOMI,2024-06-11 18:49:00
starlink,PERUSAHAAN,BerinvestasiDi,indonesia,NEGARA,2024-06-11 18:49:00
bahlil lahadalia,ORANG,Mempengaruhi,target investasi 2025,INDIKATOR_EKONOMI,2024-06-11 16:30:00
kementerian investasi/bkpm,BADAN_REGULATOR,Mengumumkan,alokasi anggaran ta 2025,KONSEP,2024-06-11 16:30:00
kementerian investasi/bkpm,BADAN_REGULATOR,Mempengaruhi,target investasi,INDIKATOR_EKONOMI,2024-06-11 16:30:00
bahlil lahadalia,ORANG,Mempengaruhi,anggaran kementerian,KONSEP,2024-06-11 16:30:00
menteri investasi,PEMERINTAHAN,Mengumumkan,target investasi,INDIKATOR_EKONOMI,2024-06-11 16:30:00
menteri investasi,PEMERINTAHAN,Mengumumkan,anggaran kementerian,KONSEP,2024-06-11 16:30:00
sbr013-t4,PRODUK,Memiliki,tenor empat tahun,KONSEP,2024-06-11 16:04:00
sbr013-t2,PRODUK,Memiliki,tenor dua tahun,KONSEP,2024-06-11 16:04:00
sbr013,PRODUK,BerdampakPositif,masyarakat dengan tujuan keuangan yang berbeda-beda,ORANG,2024-06-11 16:04:00
sbr013,PRODUK,Memiliki,kupon floating with floor,KONSEP,2024-06-11 16:04:00
surat berharga negara (sbn) seri sbr013,PRODUK,Memiliki,tipe imbal hasil (kupon) floating with floor,KONSEP,2024-06-11 16:04:00
suku bunga acuan bi,INDIKATOR_EKONOMI,Mempengaruhi,imbal hasil,INSTRUMEN_FINANSIAL,2024-06-11 16:04:00
kementerian keuangan,PEMERINTAHAN,Memperkenalkan,sbr013,PRODUK,2024-06-11 16:04:00
surat berharga negara (sbn) seri sbr013,PRODUK,BerinvestasiDi,sbr013-t4,PRODUK,2024-06-11 16:04:00
surat berharga negara (sbn) seri sbr013,PRODUK,BerinvestasiDi,sbr013-t2,PRODUK,2024-06-11 16:04:00
kementerian keuangan,PEMERINTAHAN,Mengumumkan,surat berharga negara (sbn) seri sbr013,PRODUK,2024-06-11 16:04:00
otoritas jasa keuangan,BADAN_REGULATOR,Mengumumkan,survei nasional literasi,EVENT,2024-06-11 15:38:00
otoritas jasa keuangan,BADAN_REGULATOR,Berpartisipasi,konferensi pers,EVENT,2024-06-11 15:38:00
ojk,BADAN_REGULATOR,Mengumumkan,tingkat literasi keuangan masyarakat,INDIKATOR_EKONOMI,2024-06-11 15:38:00
masyarakat,ORANG,Meningkatkan,tingkat pendidikan,INDIKATOR_EKONOMI,2024-06-11 15:38:00
